Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.75,0.6853,0.75,0.776,0.7218,0.403,0.4587
1,0.675,0.6973,0.675,0.6728,0.6301,0.2121,0.2531
2,0.675,0.5577,0.675,0.6557,0.6539,0.2216,0.2322
3,0.625,0.6511,0.625,0.6074,0.6127,0.1329,0.135
4,0.575,0.6154,0.575,0.4786,0.5057,-0.0968,-0.1189
5,0.5641,0.5929,0.5641,0.5426,0.5503,0.006,0.0061
6,0.5385,0.3943,0.5385,0.5056,0.5171,-0.0701,-0.0722
7,0.7179,0.6486,0.7179,0.7092,0.709,0.3568,0.3624
8,0.641,0.4829,0.641,0.6068,0.594,0.1078,0.1254
9,0.6667,0.6214,0.6667,0.6481,0.6456,0.214,0.2245
Mean,0.6428,0.5947,0.6428,0.6203,0.614,0.1487,0.1606
Std,0.0646,0.0895,0.0646,0.0875,0.0701,0.1587,0.1748
