Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.7,0.664,0.7,0.6935,0.6786,0.3043,0.3246
1,0.75,0.7093,0.75,0.776,0.7218,0.403,0.4587
2,0.675,0.5549,0.675,0.6557,0.6539,0.2216,0.2322
3,0.675,0.5687,0.675,0.6557,0.6539,0.2216,0.2322
4,0.575,0.6209,0.575,0.536,0.5474,-0.018,-0.0188
5,0.6667,0.6443,0.6667,0.6537,0.6561,0.2399,0.2437
6,0.5385,0.43,0.5385,0.4826,0.5002,-0.1073,-0.1154
7,0.7436,0.7143,0.7436,0.7436,0.7436,0.4429,0.4429
8,0.5897,0.4271,0.5897,0.5636,0.5708,0.0488,0.0502
9,0.641,0.6157,0.641,0.641,0.641,0.22,0.22
Mean,0.6554,0.5949,0.6554,0.6402,0.6367,0.1977,0.207
Std,0.0665,0.0966,0.0665,0.0861,0.0723,0.1669,0.1775
