Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.725,0.6854,0.725,0.73,0.727,0.4054,0.406
1,0.675,0.6429,0.675,0.6807,0.6774,0.2973,0.2977
2,0.7,0.6346,0.7,0.6917,0.694,0.3182,0.3203
3,0.525,0.48,0.525,0.5185,0.5215,-0.027,-0.0271
4,0.6,0.588,0.6,0.6113,0.6042,0.1688,0.1697
5,0.5641,0.52,0.5641,0.5709,0.5672,0.0675,0.0676
6,0.641,0.56,0.641,0.6306,0.6341,0.1947,0.196
7,0.4872,0.4357,0.4872,0.4696,0.4773,-0.1504,-0.1514
8,0.7179,0.6643,0.7179,0.7092,0.709,0.3568,0.3624
9,0.6667,0.6014,0.6667,0.6617,0.6638,0.2642,0.2646
Mean,0.6302,0.5812,0.6302,0.6274,0.6275,0.1895,0.1906
Std,0.0786,0.0778,0.0786,0.081,0.0793,0.1692,0.1702
