Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.7,0.6964,0.7,0.7115,0.704,0.3617,0.3638
1,0.6,0.6511,0.6,0.6,0.6,0.1209,0.1209
2,0.675,0.5371,0.675,0.6616,0.6644,0.2486,0.2524
3,0.6,0.4933,0.6,0.5799,0.584,0.0986,0.1012
4,0.6,0.5613,0.6,0.5897,0.5934,0.1233,0.124
5,0.6667,0.5843,0.6667,0.6481,0.6456,0.214,0.2245
6,0.5641,0.5371,0.5641,0.5709,0.5672,0.0675,0.0676
7,0.7692,0.6871,0.7692,0.7663,0.7672,0.4906,0.4914
8,0.641,0.6,0.641,0.6216,0.6244,0.1677,0.1726
9,0.6923,0.6986,0.6923,0.6796,0.6781,0.2866,0.295
Mean,0.6508,0.6046,0.6508,0.6429,0.6428,0.2179,0.2213
Std,0.0586,0.0707,0.0586,0.0599,0.0589,0.1259,0.1263
