Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.6,0.5373,0.6,0.5897,0.5934,0.1233,0.124
1,0.7,0.7173,0.7,0.6937,0.6951,0.3425,0.3445
2,0.55,0.5151,0.55,0.5646,0.556,0.0426,0.0428
3,0.575,0.4849,0.575,0.5679,0.5711,0.0503,0.0504
4,0.6,0.5027,0.6,0.5869,0.592,0.0909,0.0915
5,0.6667,0.6814,0.6667,0.7018,0.6734,0.3285,0.34
6,0.5385,0.4343,0.5385,0.5233,0.5296,-0.0354,-0.0356
7,0.5641,0.55,0.5641,0.5709,0.5672,0.0675,0.0676
8,0.6154,0.54,0.6154,0.6095,0.612,0.1509,0.1512
9,0.5897,0.49,0.5897,0.5482,0.5558,0.0158,0.017
Mean,0.5999,0.5453,0.5999,0.5957,0.5946,0.1177,0.1193
Std,0.0479,0.0837,0.0479,0.0557,0.0501,0.1197,0.1221
