Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.675,0.624,0.675,0.6641,0.6455,0.2353,0.2582
1,0.7,0.7813,0.7,0.7035,0.6661,0.2836,0.3228
2,0.625,0.5824,0.625,0.5959,0.6007,0.1018,0.1067
3,0.525,0.5577,0.525,0.5327,0.5285,-0.027,-0.0271
4,0.6,0.5549,0.6,0.5578,0.5661,0.0244,0.0262
5,0.7692,0.7414,0.7692,0.7647,0.7619,0.4738,0.4812
6,0.5128,0.48,0.5128,0.4319,0.4615,-0.1894,-0.2107
7,0.6667,0.64,0.6667,0.6617,0.6638,0.2642,0.2646
8,0.7179,0.59,0.7179,0.7171,0.6883,0.3114,0.3464
9,0.6667,0.59,0.6667,0.649,0.6131,0.1564,0.1927
Mean,0.6458,0.6142,0.6458,0.6278,0.6196,0.1634,0.1761
Std,0.0774,0.0847,0.0774,0.0942,0.0814,0.1822,0.1941
