Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.65,0.6373,0.65,0.6417,0.6442,0.2329,0.2343
1,0.7,0.616,0.7,0.7035,0.6661,0.2836,0.3228
2,0.6,0.5137,0.6,0.5578,0.5661,0.0244,0.0262
3,0.625,0.6071,0.625,0.6074,0.6127,0.1329,0.135
4,0.55,0.489,0.55,0.5345,0.541,-0.0227,-0.0229
5,0.6667,0.6929,0.6667,0.6537,0.6561,0.2399,0.2437
6,0.4872,0.3857,0.4872,0.4476,0.4634,-0.189,-0.1946
7,0.6154,0.5857,0.6154,0.5982,0.6032,0.1229,0.1249
8,0.641,0.5043,0.641,0.6216,0.6244,0.1677,0.1726
9,0.6154,0.49,0.6154,0.5869,0.5911,0.093,0.0976
Mean,0.6151,0.5522,0.6151,0.5953,0.5968,0.1086,0.114
Std,0.0572,0.0864,0.0572,0.0672,0.0579,0.1344,0.1417
