Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.775,0.656,0.775,0.7969,0.7546,0.4706,0.5164
1,0.725,0.6907,0.725,0.7537,0.687,0.3333,0.3977
2,0.65,0.5082,0.65,0.6147,0.6033,0.1139,0.1321
3,0.7,0.5467,0.7,0.6859,0.6746,0.2683,0.2883
4,0.575,0.5824,0.575,0.4786,0.5057,-0.0968,-0.1189
5,0.7949,0.7557,0.7949,0.7956,0.7854,0.5244,0.5399
6,0.5641,0.4029,0.5641,0.5032,0.5182,-0.0642,-0.0714
7,0.6154,0.6,0.6154,0.5584,0.5536,0.0266,0.0328
8,0.641,0.4786,0.641,0.6137,0.6113,0.1388,0.1493
9,0.641,0.49,0.641,0.5953,0.5411,0.0387,0.0684
Mean,0.6681,0.5711,0.6681,0.6396,0.6235,0.1754,0.1935
Std,0.0747,0.1022,0.0747,0.1089,0.0934,0.2049,0.2213
