Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.6,0.669,0.6,0.6,0.6,0.1209,0.1209
1,0.65,0.6992,0.65,0.6625,0.6547,0.2553,0.2568
2,0.675,0.6044,0.675,0.694,0.6808,0.3194,0.3234
3,0.625,0.5133,0.625,0.642,0.6301,0.2308,0.2335
4,0.475,0.504,0.475,0.4818,0.4781,-0.1053,-0.1054
5,0.6154,0.5686,0.6154,0.6216,0.6181,0.1772,0.1775
6,0.5897,0.6143,0.5897,0.603,0.5949,0.1357,0.1365
7,0.6154,0.5629,0.6154,0.5869,0.5911,0.093,0.0976
8,0.4872,0.5543,0.4872,0.5165,0.4969,-0.0484,-0.0495
9,0.6923,0.6729,0.6923,0.6923,0.6923,0.3314,0.3314
Mean,0.6025,0.5963,0.6025,0.6101,0.6037,0.151,0.1523
Std,0.0679,0.0642,0.0679,0.066,0.0669,0.1374,0.1382
