Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.675,0.5852,0.675,0.6616,0.6644,0.2486,0.2524
1,0.7,0.7637,0.7,0.6867,0.6857,0.2941,0.3026
2,0.6,0.5701,0.6,0.5733,0.581,0.0588,0.0605
3,0.625,0.5853,0.625,0.6042,0.6045,0.1429,0.1491
4,0.65,0.7133,0.65,0.6317,0.625,0.1884,0.201
5,0.5897,0.6129,0.5897,0.5636,0.5708,0.0488,0.0502
6,0.641,0.6343,0.641,0.6306,0.6341,0.1947,0.196
7,0.4872,0.4571,0.4872,0.4696,0.4773,-0.1504,-0.1514
8,0.6667,0.6271,0.6667,0.6481,0.6456,0.214,0.2245
9,0.6154,0.6771,0.6154,0.6216,0.6181,0.1772,0.1775
Mean,0.625,0.6226,0.625,0.6091,0.6106,0.1417,0.1462
Std,0.0563,0.0802,0.0563,0.0585,0.0555,0.1212,0.1239
