Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.675,0.6635,0.675,0.653,0.6401,0.1925,0.2138
1,0.725,0.7692,0.725,0.7227,0.6955,0.3168,0.3518
2,0.6,0.5989,0.6,0.5373,0.5467,-0.0127,-0.0147
3,0.6,0.5467,0.6,0.5699,0.5714,0.0725,0.0773
4,0.725,0.6987,0.725,0.7537,0.687,0.3333,0.3977
5,0.5641,0.65,0.5641,0.5032,0.5182,-0.0642,-0.0714
6,0.7436,0.6929,0.7436,0.7653,0.71,0.3627,0.4217
7,0.6154,0.5371,0.6154,0.5869,0.5911,0.093,0.0976
8,0.6923,0.6543,0.6923,0.7088,0.6325,0.2068,0.2756
9,0.7436,0.6971,0.7436,0.7448,0.7224,0.3849,0.4141
Mean,0.6684,0.6508,0.6684,0.6546,0.6315,0.1886,0.2163
Std,0.0643,0.0685,0.0643,0.0929,0.0685,0.1528,0.1748
