Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.7,0.688,0.7,0.7286,0.65,0.2615,0.3318
1,0.675,0.6987,0.675,0.6979,0.6102,0.1875,0.2582
2,0.65,0.6429,0.65,0.6219,0.6204,0.1463,0.1572
3,0.625,0.5989,0.625,0.5833,0.5847,0.0683,0.0759
4,0.575,0.4945,0.575,0.5136,0.5294,-0.0559,-0.0621
5,0.5897,0.6714,0.5897,0.5482,0.5558,0.0158,0.017
6,0.5641,0.48,0.5641,0.5256,0.5365,-0.0279,-0.0293
7,0.6154,0.5829,0.6154,0.5745,0.5749,0.061,0.0679
8,0.6923,0.5529,0.6923,0.7088,0.6325,0.2068,0.2756
9,0.5641,0.5986,0.5641,0.5256,0.5365,-0.0279,-0.0293
Mean,0.6251,0.6009,0.6251,0.6028,0.5831,0.0836,0.1063
Std,0.0495,0.0724,0.0495,0.0778,0.0413,0.1055,0.1344
