Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.632,0.625,0.5822,0.5203,0.0323,0.0592
1,0.625,0.28,0.625,0.3906,0.4808,0.0,0.0
2,0.625,0.5192,0.625,0.4167,0.5,-0.049,-0.1175
3,0.675,0.5467,0.675,0.7833,0.5667,0.0909,0.2182
4,0.625,0.5027,0.625,0.4167,0.5,-0.049,-0.1175
5,0.641,0.49,0.641,0.4109,0.5008,0.0,0.0
6,0.641,0.58,0.641,0.4109,0.5008,0.0,0.0
7,0.6667,0.5229,0.6667,0.7807,0.5566,0.0898,0.2168
8,0.641,0.4214,0.641,0.4109,0.5008,0.0,0.0
9,0.641,0.49,0.641,0.5953,0.5411,0.0387,0.0684
Mean,0.6406,0.4985,0.6406,0.5198,0.5168,0.0154,0.0328
Std,0.0168,0.0904,0.0168,0.1485,0.027,0.0461,0.1094
