Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.675,0.6853,0.675,0.671,0.6726,0.2973,0.2977
1,0.675,0.656,0.675,0.6625,0.6573,0.2571,0.2683
2,0.525,0.489,0.525,0.5327,0.5285,-0.027,-0.0271
3,0.525,0.4945,0.525,0.5327,0.5285,-0.027,-0.0271
4,0.625,0.6456,0.625,0.6074,0.6127,0.1329,0.135
5,0.641,0.7043,0.641,0.641,0.641,0.22,0.22
6,0.5128,0.3771,0.5128,0.5049,0.5086,-0.0755,-0.0756
7,0.5641,0.6314,0.5641,0.5256,0.5365,-0.0279,-0.0293
8,0.6154,0.5014,0.6154,0.5982,0.6032,0.1229,0.1249
9,0.5641,0.5843,0.5641,0.5426,0.5503,0.006,0.0061
Mean,0.5922,0.5769,0.5922,0.5819,0.5839,0.0879,0.0893
Std,0.0588,0.101,0.0588,0.0586,0.0574,0.129,0.1308
