Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.5659,0.625,0.5833,0.5847,0.0683,0.0759
1,0.65,0.7143,0.65,0.6083,0.581,0.0789,0.1048
2,0.675,0.5769,0.675,0.6557,0.622,0.1613,0.1981
3,0.575,0.6373,0.575,0.558,0.5634,0.0556,0.0563
4,0.575,0.608,0.575,0.4757,0.4903,-0.0625,-0.0861
5,0.6154,0.6071,0.6154,0.5584,0.5536,0.0266,0.0328
6,0.641,0.6057,0.641,0.6068,0.594,0.1078,0.1254
7,0.6667,0.6429,0.6667,0.649,0.6131,0.1564,0.1927
8,0.6154,0.6229,0.6154,0.5584,0.5536,0.0266,0.0328
9,0.5897,0.4943,0.5897,0.5482,0.5558,0.0158,0.017
Mean,0.6228,0.6075,0.6228,0.5802,0.5712,0.0635,0.075
Std,0.0339,0.0541,0.0339,0.0503,0.0355,0.0643,0.081
