Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.575,0.5192,0.575,0.4041,0.4746,-0.1409,-0.2089
1,0.675,0.6896,0.675,0.7833,0.5667,0.0909,0.2182
2,0.675,0.544,0.675,0.7833,0.5667,0.0909,0.2182
3,0.55,0.6453,0.55,0.4859,0.4992,-0.0746,-0.0849
4,0.6,0.5787,0.6,0.5135,0.5054,-0.0159,-0.0245
5,0.6154,0.6157,0.6154,0.5292,0.5256,-0.0104,-0.0154
6,0.6667,0.5257,0.6667,0.6667,0.5889,0.1244,0.1852
7,0.641,0.6514,0.641,0.5953,0.5411,0.0387,0.0684
8,0.6667,0.6143,0.6667,0.7807,0.5566,0.0898,0.2168
9,0.6923,0.5371,0.6923,0.7088,0.6325,0.2068,0.2756
Mean,0.6357,0.5921,0.6357,0.6251,0.5457,0.04,0.0848
Std,0.0458,0.0567,0.0458,0.1318,0.0443,0.097,0.1539
