Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.6209,0.625,0.6189,0.6216,0.162,0.1623
1,0.725,0.5027,0.725,0.7443,0.6802,0.2903,0.3566
2,0.65,0.4423,0.65,0.4225,0.5121,0.0,0.0
3,0.575,0.5013,0.575,0.5312,0.5364,0.0,0.0
4,0.575,0.488,0.575,0.558,0.5634,0.0556,0.0563
5,0.5641,0.48,0.5641,0.4677,0.4941,-0.1032,-0.1271
6,0.641,0.5914,0.641,0.4109,0.5008,0.0,0.0
7,0.641,0.5486,0.641,0.6007,0.5712,0.0746,0.0994
8,0.6154,0.3543,0.6154,0.5292,0.5256,-0.0104,-0.0154
9,0.6154,0.5243,0.6154,0.5292,0.5256,-0.0104,-0.0154
Mean,0.6227,0.5054,0.6227,0.5413,0.5531,0.0459,0.0517
Std,0.0447,0.0712,0.0447,0.0938,0.0556,0.1044,0.1251
