Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.65,0.4643,0.65,0.6083,0.581,0.0789,0.1048
1,0.625,0.4011,0.625,0.5383,0.5364,-0.0067,-0.0099
2,0.675,0.4615,0.675,0.7833,0.5667,0.0909,0.2182
3,0.625,0.584,0.625,0.5822,0.5203,0.0323,0.0592
4,0.6,0.4347,0.6,0.3846,0.4688,-0.0492,-0.124
5,0.641,0.4229,0.641,0.4109,0.5008,0.0,0.0
6,0.641,0.5,0.641,0.4109,0.5008,0.0,0.0
7,0.6667,0.54,0.6667,0.7807,0.5566,0.0898,0.2168
8,0.6667,0.5514,0.6667,0.7807,0.5566,0.0898,0.2168
9,0.641,0.3386,0.641,0.4109,0.5008,0.0,0.0
Mean,0.6431,0.4698,0.6431,0.5691,0.5289,0.0326,0.0682
Std,0.0217,0.0714,0.0217,0.1572,0.0343,0.0485,0.1118
