Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.4,0.5549,0.4,0.5569,0.3375,0.0083,0.0147
1,0.425,0.6374,0.425,0.65,0.3535,0.0612,0.1189
2,0.375,0.5357,0.375,0.5563,0.2681,0.004,0.0099
3,0.4,0.656,0.4,0.7692,0.2564,0.0303,0.124
4,0.45,0.4027,0.45,0.5942,0.3984,0.0538,0.0849
5,0.4103,0.5186,0.4103,0.7769,0.2921,0.0588,0.174
6,0.3333,0.6229,0.3333,0.1228,0.1795,-0.0519,-0.2168
7,0.3846,0.5971,0.3846,0.5113,0.3077,-0.0174,-0.0328
8,0.4615,0.5543,0.4615,0.7846,0.382,0.1203,0.253
9,0.4103,0.5286,0.4103,0.5579,0.3487,0.0132,0.0228
Mean,0.405,0.5608,0.405,0.588,0.3124,0.0281,0.0553
Std,0.0349,0.0697,0.0349,0.1834,0.0625,0.0457,0.1222
