Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.4121,0.625,0.4167,0.5,-0.049,-0.1175
1,0.65,0.5137,0.65,0.4225,0.5121,0.0,0.0
2,0.65,0.4396,0.65,0.4225,0.5121,0.0,0.0
3,0.625,0.4693,0.625,0.3906,0.4808,0.0,0.0
4,0.55,0.504,0.55,0.3716,0.4435,-0.1429,-0.2206
5,0.641,0.4729,0.641,0.4109,0.5008,0.0,0.0
6,0.6667,0.7171,0.6667,0.7807,0.5566,0.0898,0.2168
7,0.641,0.6457,0.641,0.4109,0.5008,0.0,0.0
8,0.641,0.6514,0.641,0.4109,0.5008,0.0,0.0
9,0.641,0.6657,0.641,0.4109,0.5008,0.0,0.0
Mean,0.6331,0.5492,0.6331,0.4448,0.5008,-0.0102,-0.0121
Std,0.03,0.1039,0.03,0.1129,0.0266,0.0546,0.1039
