Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.65,0.5797,0.65,0.6147,0.6033,0.1139,0.1321
1,0.7,0.7363,0.7,0.7139,0.6409,0.2105,0.2795
2,0.75,0.783,0.75,0.7696,0.7167,0.3671,0.4257
3,0.625,0.592,0.625,0.5868,0.5503,0.0625,0.0861
4,0.6,0.5,0.6,0.5135,0.5054,-0.0159,-0.0245
5,0.6154,0.6171,0.6154,0.4049,0.4884,-0.0503,-0.1214
6,0.6667,0.6171,0.6667,0.7807,0.5566,0.0898,0.2168
7,0.6154,0.5771,0.6154,0.4049,0.4884,-0.0503,-0.1214
8,0.6667,0.6729,0.6667,0.6667,0.5889,0.1244,0.1852
9,0.641,0.7186,0.641,0.6007,0.5712,0.0746,0.0994
Mean,0.653,0.6394,0.653,0.6056,0.571,0.0926,0.1157
Std,0.0431,0.0822,0.0431,0.1275,0.0679,0.1202,0.1648
