Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.675,0.6099,0.675,0.653,0.6401,0.1925,0.2138
1,0.65,0.7088,0.65,0.6147,0.6033,0.1139,0.1321
2,0.725,0.7582,0.725,0.7227,0.6955,0.3168,0.3518
3,0.625,0.6,0.625,0.5868,0.5503,0.0625,0.0861
4,0.575,0.4867,0.575,0.4757,0.4903,-0.0625,-0.0861
5,0.6154,0.6186,0.6154,0.4049,0.4884,-0.0503,-0.1214
6,0.6923,0.62,0.6923,0.7088,0.6325,0.2068,0.2756
7,0.6154,0.4829,0.6154,0.4049,0.4884,-0.0503,-0.1214
8,0.6667,0.6714,0.6667,0.6667,0.5889,0.1244,0.1852
9,0.641,0.7214,0.641,0.6007,0.5712,0.0746,0.0994
Mean,0.6481,0.6278,0.6481,0.5839,0.5749,0.0928,0.1015
Std,0.0412,0.0874,0.0412,0.1112,0.0677,0.1187,0.1576
