Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.575,0.5907,0.575,0.511,0.5163,-0.0303,-0.0362
1,0.575,0.5453,0.575,0.5807,0.5775,0.1053,0.1054
2,0.6,0.5549,0.6,0.5373,0.5467,-0.0127,-0.0147
3,0.55,0.5426,0.55,0.5646,0.556,0.0426,0.0428
4,0.6,0.5907,0.6,0.5869,0.592,0.0909,0.0915
5,0.5128,0.4657,0.5128,0.4319,0.4615,-0.1894,-0.2107
6,0.5897,0.6143,0.5897,0.5636,0.5708,0.0488,0.0502
7,0.6667,0.66,0.6667,0.6537,0.6561,0.2399,0.2437
8,0.6923,0.7171,0.6923,0.6923,0.6923,0.3314,0.3314
9,0.5897,0.5929,0.5897,0.5482,0.5558,0.0158,0.017
Mean,0.5951,0.5874,0.5951,0.567,0.5725,0.0642,0.062
Std,0.0493,0.0652,0.0493,0.0681,0.062,0.1367,0.1417
