Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.5,0.625,0.3906,0.4808,0.0,0.0
1,0.625,0.5,0.625,0.3906,0.4808,0.0,0.0
2,0.65,0.5,0.65,0.4225,0.5121,0.0,0.0
3,0.65,0.5,0.65,0.4225,0.5121,0.0,0.0
4,0.65,0.5,0.65,0.4225,0.5121,0.0,0.0
5,0.641,0.5,0.641,0.4109,0.5008,0.0,0.0
6,0.641,0.5,0.641,0.4109,0.5008,0.0,0.0
7,0.641,0.5,0.641,0.4109,0.5008,0.0,0.0
8,0.641,0.5,0.641,0.4109,0.5008,0.0,0.0
9,0.641,0.5,0.641,0.4109,0.5008,0.0,0.0
Mean,0.6405,0.5,0.6405,0.4103,0.5002,0.0,0.0
Std,0.0087,0.0,0.0087,0.0111,0.0109,0.0,0.0
