Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.65,0.6533,0.65,0.6605,0.6536,0.2727,0.2742
1,0.625,0.584,0.625,0.6116,0.6148,0.1667,0.169
2,0.575,0.4478,0.575,0.5679,0.5711,0.0503,0.0504
3,0.6,0.5989,0.6,0.6,0.6,0.1209,0.1209
4,0.6,0.5549,0.6,0.5869,0.592,0.0909,0.0915
5,0.7179,0.7157,0.7179,0.7229,0.7199,0.3966,0.3972
6,0.5128,0.3914,0.5128,0.5203,0.5162,-0.0422,-0.0423
7,0.5385,0.5171,0.5385,0.5233,0.5296,-0.0354,-0.0356
8,0.5385,0.5129,0.5385,0.5385,0.5385,-0.0029,-0.0029
9,0.5897,0.5157,0.5897,0.5636,0.5708,0.0488,0.0502
Mean,0.5947,0.5492,0.5947,0.5895,0.5907,0.1066,0.1073
Std,0.0572,0.09,0.0572,0.0603,0.0584,0.1329,0.1333
