Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.75,0.6613,0.75,0.8214,0.7083,0.3846,0.488
1,0.75,0.7227,0.75,0.8214,0.7083,0.3846,0.488
2,0.625,0.4835,0.625,0.5671,0.5638,0.0323,0.0396
3,0.675,0.533,0.675,0.6557,0.622,0.1613,0.1981
4,0.55,0.5962,0.55,0.4598,0.49,-0.1392,-0.1615
5,0.6667,0.6957,0.6667,0.649,0.6131,0.1564,0.1927
6,0.641,0.3629,0.641,0.6068,0.594,0.1078,0.1254
7,0.6154,0.6057,0.6154,0.5292,0.5256,-0.0104,-0.0154
8,0.6667,0.5386,0.6667,0.6458,0.6316,0.1862,0.2071
9,0.7179,0.5957,0.7179,0.8041,0.6521,0.2591,0.3858
Mean,0.6658,0.5795,0.6658,0.6561,0.6109,0.1523,0.1948
Std,0.0593,0.101,0.0593,0.119,0.0676,0.1576,0.2021
