Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.675,0.6291,0.675,0.6557,0.622,0.1613,0.1981
1,0.6,0.511,0.6,0.5578,0.5661,0.0244,0.0262
2,0.5,0.3874,0.5,0.3824,0.4333,-0.2658,-0.3083
3,0.6,0.6209,0.6,0.5373,0.5467,-0.0127,-0.0147
4,0.5897,0.4914,0.5897,0.5636,0.5708,0.0488,0.0502
5,0.6667,0.6095,0.6667,0.6313,0.625,0.1333,0.1508
6,0.5897,0.5976,0.5897,0.5556,0.5671,0.0,0.0
7,0.7436,0.7101,0.7436,0.7333,0.7294,0.375,0.3873
8,0.641,0.7145,0.641,0.6012,0.6057,0.087,0.0945
9,0.6154,0.5444,0.6154,0.5556,0.5674,0.0,0.0
Mean,0.6221,0.5816,0.6221,0.5774,0.5834,0.0551,0.0584
Std,0.0616,0.0955,0.0616,0.0867,0.0706,0.1534,0.1689
