Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.6,0.6044,0.6,0.5869,0.592,0.0909,0.0915
1,0.525,0.4203,0.525,0.517,0.5207,-0.0615,-0.0615
2,0.475,0.3819,0.475,0.4163,0.441,-0.2575,-0.2699
3,0.625,0.6401,0.625,0.5833,0.5847,0.0683,0.0759
4,0.4872,0.4543,0.4872,0.4696,0.4773,-0.1504,-0.1514
5,0.6667,0.5917,0.6667,0.6238,0.603,0.093,0.1195
6,0.641,0.6095,0.641,0.6148,0.6212,0.125,0.1291
7,0.7179,0.6538,0.7179,0.713,0.715,0.3529,0.3536
8,0.6154,0.6257,0.6154,0.608,0.6113,0.1176,0.1179
9,0.6154,0.5237,0.6154,0.5931,0.6008,0.0816,0.083
Mean,0.5969,0.5505,0.5969,0.5726,0.5767,0.046,0.0488
Std,0.0742,0.0937,0.0742,0.0801,0.0744,0.1593,0.1633
