Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.5934,0.625,0.6313,0.6278,0.1892,0.1895
1,0.325,0.4038,0.325,0.3846,0.2671,-0.1297,-0.2138
2,0.7,0.7885,0.7,0.7,0.7,0.3407,0.3407
3,0.3,0.3352,0.3,0.3198,0.3093,-0.4894,-0.4922
4,0.641,0.6361,0.641,0.6148,0.6212,0.125,0.1291
5,0.5897,0.6317,0.5897,0.6614,0.6007,0.2,0.2182
6,0.6154,0.6302,0.6154,0.6763,0.6263,0.2373,0.2539
7,0.641,0.6672,0.641,0.672,0.65,0.25,0.2559
8,0.4103,0.3817,0.4103,0.4831,0.4244,-0.1311,-0.1463
9,0.5641,0.5086,0.5641,0.5849,0.5713,0.0955,0.0967
Mean,0.5412,0.5576,0.5412,0.5728,0.5398,0.0687,0.0632
Std,0.1351,0.1378,0.1351,0.1255,0.1432,0.237,0.25
