Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.525,0.4684,0.525,0.4989,0.5095,-0.0983,-0.0998
1,0.675,0.6181,0.675,0.653,0.6401,0.1925,0.2138
2,0.575,0.4849,0.575,0.5531,0.5611,0.0173,0.0176
3,0.575,0.5893,0.575,0.5136,0.5294,-0.0559,-0.0621
4,0.5385,0.4231,0.5385,0.5195,0.5278,-0.08,-0.0806
5,0.6923,0.5044,0.6923,0.6741,0.6753,0.25,0.2582
6,0.5897,0.5163,0.5897,0.5736,0.5802,0.04,0.0403
7,0.5641,0.5976,0.5641,0.5368,0.5476,-0.0408,-0.0415
8,0.6923,0.7115,0.6923,0.6923,0.6923,0.3077,0.3077
9,0.5641,0.4786,0.5641,0.4677,0.4941,-0.1032,-0.1271
Mean,0.5991,0.5392,0.5991,0.5683,0.5757,0.0429,0.0427
Std,0.06,0.0829,0.06,0.0744,0.0665,0.1446,0.1513
