Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.575,0.5893,0.575,0.5531,0.5611,0.0173,0.0176
1,0.65,0.5659,0.65,0.6393,0.643,0.2045,0.2059
2,0.475,0.5179,0.475,0.4986,0.4843,-0.0995,-0.1007
3,0.575,0.5,0.575,0.5963,0.5826,0.1099,0.1113
4,0.641,0.6538,0.641,0.641,0.641,0.1923,0.1923
5,0.5128,0.4867,0.5128,0.5031,0.5077,-0.1176,-0.1179
6,0.5641,0.6228,0.5641,0.5724,0.5679,0.0377,0.0378
7,0.5897,0.5577,0.5897,0.6056,0.5962,0.1111,0.1118
8,0.5641,0.5355,0.5641,0.5888,0.5733,0.0727,0.0737
9,0.641,0.6029,0.641,0.6137,0.6113,0.1388,0.1493
Mean,0.5788,0.5632,0.5788,0.5812,0.5768,0.0667,0.0681
Std,0.0534,0.0517,0.0534,0.0476,0.0488,0.1043,0.1055
