Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.55,0.533,0.55,0.5345,0.541,-0.0227,-0.0229
1,0.6,0.5852,0.6,0.5869,0.592,0.0909,0.0915
2,0.6,0.5591,0.6,0.5733,0.581,0.0588,0.0605
3,0.65,0.6387,0.65,0.6147,0.6033,0.1139,0.1321
4,0.6154,0.6014,0.6154,0.5745,0.5749,0.061,0.0679
5,0.4359,0.2027,0.4359,0.3778,0.4048,-0.375,-0.3873
6,0.5385,0.4808,0.5385,0.4963,0.513,-0.125,-0.1291
7,0.7179,0.6849,0.7179,0.703,0.6967,0.2979,0.3143
8,0.641,0.5725,0.641,0.6148,0.6212,0.125,0.1291
9,0.5385,0.395,0.5385,0.4118,0.4667,-0.2273,-0.2712
Mean,0.5887,0.5253,0.5887,0.5488,0.5595,-0.0002,-0.0015
Std,0.0735,0.132,0.0735,0.0928,0.0783,0.1847,0.1975
