Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.65,0.4766,0.65,0.6147,0.6033,0.1139,0.1321
1,0.7,0.6181,0.7,0.7947,0.6156,0.1781,0.3126
2,0.55,0.5755,0.55,0.3972,0.4613,-0.1842,-0.2446
3,0.65,0.5041,0.65,0.6026,0.5516,0.0411,0.0721
4,0.641,0.5286,0.641,0.5953,0.5411,0.0387,0.0684
5,0.5385,0.4349,0.5385,0.4963,0.513,-0.125,-0.1291
6,0.6154,0.6183,0.6154,0.5556,0.5674,0.0,0.0
7,0.5641,0.4645,0.5641,0.5556,0.5595,0.0,0.0
8,0.5385,0.497,0.5385,0.4963,0.513,-0.125,-0.1291
9,0.6667,0.6124,0.6667,0.6171,0.5735,0.0488,0.0822
Mean,0.6114,0.533,0.6114,0.5725,0.5499,-0.0014,0.0165
Std,0.0561,0.065,0.0561,0.0987,0.0433,0.1074,0.1491
