Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.675,0.6071,0.675,0.6725,0.5982,0.1275,0.189
1,0.65,0.6071,0.65,0.6147,0.6033,0.1139,0.1321
2,0.625,0.6044,0.625,0.5833,0.5847,0.0683,0.0759
3,0.65,0.7033,0.65,0.6026,0.5516,0.0411,0.0721
4,0.6154,0.46,0.6154,0.5745,0.5749,0.061,0.0679
5,0.6154,0.5533,0.6154,0.5214,0.5419,-0.0465,-0.0598
6,0.6154,0.6686,0.6154,0.5214,0.5419,-0.0465,-0.0598
7,0.5897,0.6346,0.5897,0.5327,0.5494,-0.0435,-0.0472
8,0.6154,0.5178,0.6154,0.5766,0.5865,0.0426,0.0449
9,0.6923,0.6124,0.6923,0.6696,0.6621,0.2174,0.2362
Mean,0.6344,0.5969,0.6344,0.587,0.5795,0.0535,0.0651
Std,0.03,0.0673,0.03,0.0519,0.0351,0.0812,0.0967
