Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.95,0.9972,0.95,0.9567,0.9508,0.8904,0.8958
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.95,0.9644,0.95,0.9567,0.9508,0.8904,0.8958
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9487,0.9815,0.9487,0.9487,0.9487,0.8796,0.8796
6,0.9744,1.0,0.9744,0.9753,0.974,0.9384,0.9402
7,0.9487,0.9352,0.9487,0.956,0.9497,0.885,0.8909
8,0.9744,0.9722,0.9744,0.9763,0.9746,0.9412,0.9428
9,0.9487,1.0,0.9487,0.956,0.9497,0.885,0.8909
Mean,0.9695,0.985,0.9695,0.9726,0.9698,0.931,0.9336
Std,0.0221,0.0209,0.0221,0.0197,0.0218,0.0496,0.0477
