Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.45,0.4629,0.45,0.5086,0.4611,-0.068,-0.0737
1,0.55,0.489,0.55,0.5646,0.556,0.0426,0.0428
2,0.575,0.603,0.575,0.6117,0.5846,0.1371,0.1417
3,0.525,0.5192,0.525,0.5327,0.5285,-0.027,-0.0271
4,0.5897,0.5459,0.5897,0.5897,0.5897,0.0769,0.0769
5,0.5128,0.4527,0.5128,0.5219,0.5171,-0.0755,-0.0756
6,0.6667,0.6731,0.6667,0.7063,0.6758,0.3158,0.3273
7,0.5897,0.571,0.5897,0.6056,0.5962,0.1111,0.1118
8,0.5128,0.5148,0.5128,0.5556,0.5262,0.0,0.0
9,0.5641,0.4657,0.5641,0.5256,0.5365,-0.0279,-0.0293
Mean,0.5536,0.5297,0.5536,0.5722,0.5572,0.0485,0.0495
Std,0.0555,0.0666,0.0555,0.0562,0.0552,0.1126,0.1165
