Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.975,0.9843,0.975,0.9768,0.9752,0.9441,0.9456
1,0.975,0.9715,0.975,0.9768,0.9752,0.9441,0.9456
2,0.95,0.9687,0.95,0.9567,0.9508,0.8904,0.8958
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.8974,0.9352,0.8974,0.9231,0.9007,0.7797,0.7993
6,0.9744,0.9753,0.9744,0.9763,0.9746,0.9412,0.9428
7,0.9744,0.9923,0.9744,0.9763,0.9746,0.9412,0.9428
8,0.9744,0.9583,0.9744,0.9753,0.974,0.9384,0.9402
9,0.9487,0.9552,0.9487,0.9523,0.9473,0.8738,0.8808
Mean,0.9669,0.9741,0.9669,0.9714,0.9673,0.9253,0.9293
Std,0.0282,0.0198,0.0282,0.0216,0.0274,0.0613,0.056
