Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.95,0.9957,0.95,0.9567,0.9508,0.8904,0.8958
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.975,1.0,0.975,0.9759,0.9747,0.9419,0.9435
3,0.95,0.9644,0.95,0.9567,0.9508,0.8904,0.8958
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9487,0.9938,0.9487,0.9487,0.9487,0.8796,0.8796
6,0.9744,1.0,0.9744,0.9753,0.974,0.9384,0.9402
7,0.9487,0.9321,0.9487,0.956,0.9497,0.885,0.8909
8,0.9487,0.9753,0.9487,0.9487,0.9487,0.8796,0.8796
9,0.9487,0.9784,0.9487,0.9487,0.9487,0.8796,0.8796
Mean,0.9644,0.984,0.9644,0.9667,0.9646,0.9185,0.9205
Std,0.0204,0.0211,0.0204,0.0191,0.0201,0.0463,0.0455
