Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.95,1.0,0.95,0.9567,0.9508,0.8904,0.8958
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.925,0.9402,0.925,0.9276,0.9257,0.8324,0.8337
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9487,0.9969,0.9487,0.9487,0.9487,0.8796,0.8796
6,0.9744,0.9969,0.9744,0.9753,0.974,0.9384,0.9402
7,0.9487,0.9537,0.9487,0.956,0.9497,0.885,0.8909
8,0.9487,0.966,0.9487,0.9487,0.9487,0.8796,0.8796
9,0.9487,0.9907,0.9487,0.9487,0.9487,0.8796,0.8796
Mean,0.9644,0.9844,0.9644,0.9662,0.9646,0.9185,0.9199
Std,0.0258,0.0214,0.0258,0.0247,0.0256,0.0585,0.0578
