Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.925,0.9516,0.925,0.9276,0.9257,0.8324,0.8337
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9487,0.983,0.9487,0.9487,0.9487,0.8796,0.8796
6,0.9744,1.0,0.9744,0.9753,0.974,0.9384,0.9402
7,0.9487,0.9506,0.9487,0.956,0.9497,0.885,0.8909
8,0.9744,0.9799,0.9744,0.9763,0.9746,0.9412,0.9428
9,0.9744,0.9846,0.9744,0.9763,0.9746,0.9412,0.9428
Mean,0.9746,0.985,0.9746,0.976,0.9747,0.9418,0.943
Std,0.0253,0.0186,0.0253,0.0241,0.025,0.0571,0.0563
