Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.575,0.5426,0.575,0.5531,0.5611,0.0173,0.0176
1,0.5,0.5206,0.5,0.545,0.5115,0.0,0.0
2,0.475,0.4876,0.475,0.4447,0.4578,-0.2139,-0.2172
3,0.7,0.614,0.7,0.6917,0.694,0.3182,0.3203
4,0.641,0.5888,0.641,0.641,0.641,0.1923,0.1923
5,0.6154,0.5533,0.6154,0.608,0.6113,0.1176,0.1179
6,0.641,0.5473,0.641,0.6277,0.6327,0.16,0.1612
7,0.6667,0.5237,0.6667,0.6398,0.6416,0.1702,0.1796
8,0.6154,0.5843,0.6154,0.5556,0.5674,0.0,0.0
9,0.5641,0.6729,0.5641,0.5849,0.5713,0.0955,0.0967
Mean,0.5994,0.5635,0.5994,0.5891,0.589,0.0857,0.0868
Std,0.0677,0.0506,0.0677,0.0655,0.0661,0.1372,0.139
