Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.65,0.6621,0.65,0.63,0.6333,0.1765,0.1816
1,0.6,0.478,0.6,0.5578,0.5661,0.0244,0.0262
2,0.675,0.5124,0.675,0.6557,0.622,0.1613,0.1981
3,0.7,0.6085,0.7,0.6922,0.66,0.2405,0.2789
4,0.7179,0.5784,0.7179,0.7071,0.6827,0.2667,0.3015
5,0.8205,0.6583,0.8205,0.8293,0.807,0.5532,0.5837
6,0.6667,0.5429,0.6667,0.6313,0.625,0.1333,0.1508
7,0.6154,0.466,0.6154,0.5931,0.6008,0.0816,0.083
8,0.5128,0.3698,0.5128,0.5219,0.5171,-0.0755,-0.0756
9,0.641,0.5457,0.641,0.6068,0.594,0.1078,0.1254
Mean,0.6599,0.5422,0.6599,0.6425,0.6308,0.167,0.1854
Std,0.0766,0.0861,0.0766,0.0821,0.0735,0.1599,0.1702
