Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.75,0.9829,0.75,0.8176,0.6914,0.2883,0.4104
1,0.775,0.8689,0.775,0.8312,0.7315,0.375,0.4804
2,0.875,0.9345,0.875,0.8775,0.8701,0.697,0.7088
3,0.9,0.9544,0.9,0.9,0.9,0.7721,0.7721
4,0.8205,0.8086,0.8205,0.8172,0.8182,0.5687,0.5698
5,0.6923,0.8704,0.6923,0.4793,0.5664,0.0,0.0
6,0.7949,0.8611,0.7949,0.7891,0.7814,0.4694,0.4868
7,0.7179,0.9568,0.7179,0.7996,0.6225,0.1118,0.2433
8,0.9487,0.9198,0.9487,0.9523,0.9473,0.8738,0.8808
9,0.7179,0.7562,0.7179,0.7051,0.6535,0.1637,0.2245
Mean,0.7992,0.8914,0.7992,0.7969,0.7582,0.432,0.4777
Std,0.0815,0.068,0.0815,0.1236,0.1199,0.2804,0.2575
