Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.5299,0.625,0.4441,0.5192,-0.0949,-0.1592
1,0.65,0.4274,0.65,0.45,0.5318,-0.0487,-0.1111
2,0.65,0.4872,0.65,0.45,0.5318,-0.0487,-0.1111
3,0.675,0.5897,0.675,0.4556,0.544,0.0,0.0
4,0.6923,0.5478,0.6923,0.4793,0.5664,0.0,0.0
5,0.6154,0.463,0.6154,0.4615,0.5275,-0.1404,-0.1925
6,0.641,0.5679,0.641,0.4678,0.5409,-0.0964,-0.155
7,0.6667,0.608,0.6667,0.4737,0.5538,-0.0497,-0.1081
8,0.7179,0.6667,0.7179,0.7996,0.6225,0.1118,0.2433
9,0.641,0.4923,0.641,0.4678,0.5409,-0.0964,-0.155
Mean,0.6574,0.538,0.6574,0.4949,0.5479,-0.0463,-0.0749
Std,0.0296,0.0691,0.0296,0.1021,0.028,0.0675,0.1225
