Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.95,0.9943,0.95,0.9567,0.9508,0.8904,0.8958
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.925,0.9516,0.925,0.9276,0.9257,0.8324,0.8337
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9487,0.9969,0.9487,0.9487,0.9487,0.8796,0.8796
6,0.9231,1.0,0.9231,0.9308,0.9196,0.806,0.8216
7,0.9487,0.9383,0.9487,0.956,0.9497,0.885,0.8909
8,0.9744,0.966,0.9744,0.9763,0.9746,0.9412,0.9428
9,0.9744,0.9907,0.9744,0.9763,0.9746,0.9412,0.9428
Mean,0.9644,0.9838,0.9644,0.9672,0.9644,0.9176,0.9207
Std,0.0282,0.0219,0.0282,0.0262,0.0286,0.0667,0.0636
