Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.7143,0.3077,0.7143,0.8442,0.7738,-0.12,-0.1448
1,0.8571,1.0,0.8571,0.9524,0.8869,0.44,0.5311
2,0.9286,0.1538,0.9286,0.8622,0.8942,0.0,0.0
3,0.7857,0.7917,0.7857,0.7253,0.7543,-0.1053,-0.1132
4,0.7857,0.4167,0.7857,0.7253,0.7543,-0.1053,-0.1132
5,0.8462,0.375,0.8462,0.8462,0.8462,-0.0833,-0.0833
6,0.9231,0.5,0.9231,0.8521,0.8862,0.0,0.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.9231,0.3333,0.9231,0.8521,0.8862,0.0,0.0
9,0.8462,0.5,0.8462,0.8462,0.8462,-0.0833,-0.0833
Mean,0.861,0.5378,0.861,0.8506,0.8528,0.0943,0.0993
Std,0.0806,0.2789,0.0806,0.0802,0.0725,0.3399,0.3527
