Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.5714,0.3077,0.5714,0.8254,0.6753,-0.1351,-0.2067
1,0.8571,0.4615,0.8571,0.8571,0.8571,-0.0769,-0.0769
2,0.9286,0.9615,0.9286,0.9643,0.939,0.6316,0.6794
3,0.7857,0.6667,0.7857,0.8268,0.8025,0.2759,0.2843
4,0.8571,0.5,0.8571,0.7347,0.7912,0.0,0.0
5,0.9231,0.5,0.9231,0.8521,0.8862,0.0,0.0
6,0.7692,0.4167,0.7692,0.8392,0.8027,-0.1143,-0.1231
7,0.9231,0.5,0.9231,0.8521,0.8862,0.0,0.0
8,0.8462,0.4583,0.8462,0.8462,0.8462,-0.0833,-0.0833
9,0.9231,0.9583,0.9231,0.9615,0.9342,0.6286,0.677
Mean,0.8385,0.5731,0.8385,0.8559,0.8421,0.1126,0.1151
Std,0.1045,0.2109,0.1045,0.0631,0.0745,0.2806,0.3064
