Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9286,0.4231,0.9286,0.8622,0.8942,0.0,0.0
1,0.8571,0.5385,0.8571,0.8571,0.8571,-0.0769,-0.0769
2,0.9286,0.7692,0.9286,0.8622,0.8942,0.0,0.0
3,0.8571,0.8125,0.8571,0.8571,0.8571,0.4167,0.4167
4,0.8571,0.2917,0.8571,0.7347,0.7912,0.0,0.0
5,0.9231,0.4583,0.9231,0.8521,0.8862,0.0,0.0
6,0.9231,0.6667,0.9231,0.8521,0.8862,0.0,0.0
7,0.9231,0.8333,0.9231,0.8521,0.8862,0.0,0.0
8,0.9231,0.375,0.9231,0.8521,0.8862,0.0,0.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mean,0.9121,0.6168,0.9121,0.8582,0.8838,0.134,0.134
Std,0.0422,0.2215,0.0422,0.0596,0.0487,0.3162,0.3162
