Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9286,0.1923,0.9286,0.8622,0.8942,0.0,0.0
1,0.8571,0.9231,0.8571,0.8571,0.8571,-0.0769,-0.0769
2,0.9286,0.3462,0.9286,0.8622,0.8942,0.0,0.0
3,0.8571,0.6875,0.8571,0.7347,0.7912,0.0,0.0
4,0.8571,0.7292,0.8571,0.8571,0.8571,0.4167,0.4167
5,0.9231,0.25,0.9231,0.8521,0.8862,0.0,0.0
6,0.9231,0.75,0.9231,0.8521,0.8862,0.0,0.0
7,0.9231,0.9167,0.9231,0.8521,0.8862,0.0,0.0
8,0.9231,0.625,0.9231,0.8521,0.8862,0.0,0.0
9,0.9231,0.25,0.9231,0.8521,0.8862,0.0,0.0
Mean,0.9044,0.567,0.9044,0.8434,0.8725,0.034,0.034
Std,0.031,0.2677,0.031,0.0364,0.0299,0.1296,0.1296
