Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9286,0.2308,0.9286,0.8622,0.8942,0.0,0.0
1,0.9286,0.9231,0.9286,0.8622,0.8942,0.0,0.0
2,0.9286,0.6154,0.9286,0.8622,0.8942,0.0,0.0
3,0.8571,0.8958,0.8571,0.7347,0.7912,0.0,0.0
4,0.8571,0.5,0.8571,0.7347,0.7912,0.0,0.0
5,0.9231,0.2917,0.9231,0.8521,0.8862,0.0,0.0
6,0.9231,0.3333,0.9231,0.8521,0.8862,0.0,0.0
7,0.9231,1.0,0.9231,0.8521,0.8862,0.0,0.0
8,0.9231,0.375,0.9231,0.8521,0.8862,0.0,0.0
9,0.9231,0.6667,0.9231,0.8521,0.8862,0.0,0.0
Mean,0.9115,0.5832,0.9115,0.8316,0.8696,0.0,0.0
Std,0.0273,0.2677,0.0273,0.0487,0.0393,0.0,0.0
