Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9286,0.2308,0.9286,0.8622,0.8942,0.0,0.0
1,0.8571,0.9231,0.8571,0.9524,0.8869,0.44,0.5311
2,0.9286,0.6923,0.9286,0.8622,0.8942,0.0,0.0
3,0.8571,0.6667,0.8571,0.7347,0.7912,0.0,0.0
4,0.8571,0.5,0.8571,0.8571,0.8571,0.4167,0.4167
5,0.9231,0.625,0.9231,0.8521,0.8862,0.0,0.0
6,0.9231,0.4167,0.9231,0.8521,0.8862,0.0,0.0
7,0.8462,0.8333,0.8462,0.8462,0.8462,-0.0833,-0.0833
8,0.9231,0.0,0.9231,0.8521,0.8862,0.0,0.0
9,0.8462,0.0833,0.8462,0.8462,0.8462,-0.0833,-0.0833
Mean,0.889,0.4971,0.889,0.8517,0.8674,0.069,0.0781
Std,0.0365,0.2955,0.0365,0.0491,0.0311,0.1826,0.2021
