Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9286,0.1538,0.9286,0.8622,0.8942,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.9286,0.6923,0.9286,0.8622,0.8942,0.0,0.0
3,0.8571,0.5,0.8571,0.7347,0.7912,0.0,0.0
4,0.9286,0.5,0.9286,0.9341,0.9181,0.6316,0.6794
5,0.9231,0.7917,0.9231,0.8521,0.8862,0.0,0.0
6,0.9231,0.75,0.9231,0.8521,0.8862,0.0,0.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.9231,0.3333,0.9231,0.8521,0.8862,0.0,0.0
9,0.9231,0.3333,0.9231,0.8521,0.8862,0.0,0.0
Mean,0.9335,0.6054,0.9335,0.8802,0.9042,0.2632,0.2679
Std,0.039,0.2736,0.039,0.0752,0.0573,0.4131,0.4176
