Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.8571,0.6923,0.8571,0.8571,0.8571,-0.0769,-0.0769
1,0.9286,0.0,0.9286,0.8622,0.8942,0.0,0.0
2,0.8571,0.5769,0.8571,0.8571,0.8571,-0.0769,-0.0769
3,0.8571,0.625,0.8571,0.7347,0.7912,0.0,0.0
4,0.7857,0.5417,0.7857,0.7253,0.7543,-0.1053,-0.1132
5,0.8462,0.5417,0.8462,0.8462,0.8462,-0.0833,-0.0833
6,0.7692,0.5833,0.7692,0.8392,0.8027,-0.1143,-0.1231
7,0.8462,0.625,0.8462,0.8462,0.8462,-0.0833,-0.0833
8,0.9231,0.5833,0.9231,0.8521,0.8862,0.0,0.0
9,0.9231,0.625,0.9231,0.8521,0.8862,0.0,0.0
Mean,0.8593,0.5394,0.8593,0.8272,0.8421,-0.054,-0.0557
Std,0.0518,0.1848,0.0518,0.0491,0.0435,0.0455,0.0476
