Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.8571,0.4615,0.8571,0.8571,0.8571,-0.0769,-0.0769
1,0.9286,0.9231,0.9286,0.9643,0.939,0.6316,0.6794
2,0.8571,0.3077,0.8571,0.8571,0.8571,-0.0769,-0.0769
3,0.7857,0.9167,0.7857,0.7253,0.7543,-0.1053,-0.1132
4,0.8571,0.625,0.8571,0.7347,0.7912,0.0,0.0
5,0.9231,0.5833,0.9231,0.8521,0.8862,0.0,0.0
6,0.9231,1.0,0.9231,0.8521,0.8862,0.0,0.0
7,0.9231,1.0,0.9231,0.9615,0.9342,0.6286,0.677
8,0.9231,0.3333,0.9231,0.8521,0.8862,0.0,0.0
9,0.8462,0.25,0.8462,0.8462,0.8462,-0.0833,-0.0833
Mean,0.8824,0.6401,0.8824,0.8502,0.8638,0.0918,0.1006
Std,0.0462,0.2842,0.0462,0.0738,0.0546,0.272,0.2916
