Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9286,0.3077,0.9286,0.8622,0.8942,0.0,0.0
1,0.9286,0.9231,0.9286,0.9643,0.939,0.6316,0.6794
2,0.9286,0.1538,0.9286,0.8622,0.8942,0.0,0.0
3,0.8571,0.9167,0.8571,0.7347,0.7912,0.0,0.0
4,0.8571,0.625,0.8571,0.7347,0.7912,0.0,0.0
5,0.9231,0.4167,0.9231,0.8521,0.8862,0.0,0.0
6,0.9231,0.8333,0.9231,0.8521,0.8862,0.0,0.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.9231,0.25,0.9231,0.8521,0.8862,0.0,0.0
9,0.9231,0.25,0.9231,0.8521,0.8862,0.0,0.0
Mean,0.9192,0.5676,0.9192,0.8566,0.8854,0.1632,0.1679
Std,0.0382,0.3118,0.0382,0.0788,0.0582,0.3366,0.3434
