Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9286,0.6154,0.9286,0.8622,0.8942,0.0,0.0
1,0.9286,0.2308,0.9286,0.8622,0.8942,0.0,0.0
2,0.9286,0.7692,0.9286,0.8622,0.8942,0.0,0.0
3,0.7857,0.5417,0.7857,0.7253,0.7543,-0.1053,-0.1132
4,0.8571,0.375,0.8571,0.7347,0.7912,0.0,0.0
5,0.9231,0.75,0.9231,0.8521,0.8862,0.0,0.0
6,0.8462,0.4167,0.8462,0.8462,0.8462,-0.0833,-0.0833
7,0.9231,0.0833,0.9231,0.8521,0.8862,0.0,0.0
8,0.9231,0.5,0.9231,0.8521,0.8862,0.0,0.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mean,0.9044,0.5282,0.9044,0.8449,0.8733,0.0811,0.0803
Std,0.0563,0.257,0.0563,0.0718,0.0628,0.3086,0.3091
