Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9286,0.5385,0.9286,0.8622,0.8942,0.0,0.0
1,0.9286,0.6923,0.9286,0.8622,0.8942,0.0,0.0
2,0.9286,0.0,0.9286,0.8622,0.8942,0.0,0.0
3,0.8571,0.5417,0.8571,0.7347,0.7912,0.0,0.0
4,0.8571,1.0,0.8571,0.7347,0.7912,0.0,0.0
5,0.9231,0.75,0.9231,0.8521,0.8862,0.0,0.0
6,0.9231,0.0833,0.9231,0.8521,0.8862,0.0,0.0
7,0.9231,0.4167,0.9231,0.8521,0.8862,0.0,0.0
8,0.9231,1.0,0.9231,0.8521,0.8862,0.0,0.0
9,0.9231,0.9167,0.9231,0.8521,0.8862,0.0,0.0
Mean,0.9115,0.5939,0.9115,0.8316,0.8696,0.0,0.0
Std,0.0273,0.3345,0.0273,0.0487,0.0393,0.0,0.0
