Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9286,0.4615,0.9286,0.8622,0.8942,0.0,0.0
1,0.9286,0.4615,0.9286,0.8622,0.8942,0.0,0.0
2,0.8571,0.0,0.8571,0.8571,0.8571,-0.0769,-0.0769
3,0.8571,0.2917,0.8571,0.7347,0.7912,0.0,0.0
4,0.8571,0.7083,0.8571,0.7347,0.7912,0.0,0.0
5,0.9231,0.1667,0.9231,0.8521,0.8862,0.0,0.0
6,0.9231,0.8333,0.9231,0.8521,0.8862,0.0,0.0
7,0.9231,0.4167,0.9231,0.8521,0.8862,0.0,0.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mean,0.9198,0.534,0.9198,0.8607,0.8886,0.1923,0.1923
Std,0.0498,0.3252,0.0498,0.0841,0.067,0.4045,0.4045
