Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.6429,0.8462,0.6429,0.9405,0.7279,0.186,0.3203
1,0.2143,0.6154,0.2143,0.9345,0.2586,0.0253,0.1132
2,0.5714,0.6923,0.5714,0.9388,0.6679,0.1429,0.2774
3,0.4286,0.625,0.4286,0.8857,0.4762,0.125,0.2582
4,0.2857,0.1667,0.2857,0.5714,0.381,-0.2963,-0.4714
5,0.6154,0.3333,0.6154,0.8205,0.7033,-0.1404,-0.1925
6,0.4615,0.6667,0.4615,0.9327,0.5601,0.099,0.2282
7,0.4615,0.4167,0.4615,0.7912,0.583,-0.1519,-0.2673
8,0.4615,0.4167,0.4615,0.9327,0.5601,0.099,0.2282
9,0.5385,0.9167,0.5385,0.9341,0.6346,0.1333,0.2673
Mean,0.4681,0.5696,0.4681,0.8682,0.5553,0.0222,0.0762
Std,0.1293,0.2217,0.1293,0.1113,0.1401,0.1531,0.2659
