Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9286,0.2308,0.9286,0.8622,0.8942,0.0,0.0
1,0.9286,1.0,0.9286,0.8622,0.8942,0.0,0.0
2,0.9286,0.6154,0.9286,0.8622,0.8942,0.0,0.0
3,0.8571,0.3125,0.8571,0.7347,0.7912,0.0,0.0
4,0.8571,0.25,0.8571,0.7347,0.7912,0.0,0.0
5,0.9231,0.9167,0.9231,0.8521,0.8862,0.0,0.0
6,0.9231,0.2917,0.9231,0.8521,0.8862,0.0,0.0
7,0.8462,0.5833,0.8462,0.8462,0.8462,-0.0833,-0.0833
8,0.9231,0.0417,0.9231,0.8521,0.8862,0.0,0.0
9,0.9231,0.0833,0.9231,0.8521,0.8862,0.0,0.0
Mean,0.9038,0.4325,0.9038,0.8311,0.8656,-0.0083,-0.0083
Std,0.0332,0.3155,0.0332,0.0485,0.0395,0.025,0.025
