Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9286,0.2308,0.9286,0.8622,0.8942,0.0,0.0
2,0.9286,1.0,0.9286,0.8622,0.8942,0.0,0.0
3,0.8571,0.6667,0.8571,0.7347,0.7912,0.0,0.0
4,0.8571,0.0417,0.8571,0.7347,0.7912,0.0,0.0
5,0.9231,0.5,0.9231,0.8521,0.8862,0.0,0.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.9231,0.625,0.9231,0.8521,0.8862,0.0,0.0
8,0.9231,0.2917,0.9231,0.8521,0.8862,0.0,0.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mean,0.9341,0.6356,0.9341,0.875,0.9029,0.3,0.3
Std,0.0503,0.3443,0.0503,0.0939,0.0736,0.4583,0.4583
