Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9286,0.7692,0.9286,0.8622,0.8942,0.0,0.0
1,0.9286,0.7692,0.9286,0.8622,0.8942,0.0,0.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.9286,0.5,0.9286,0.9341,0.9181,0.6316,0.6794
4,0.7857,0.25,0.7857,0.7253,0.7543,-0.1053,-0.1132
5,0.9231,0.5833,0.9231,0.8521,0.8862,0.0,0.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.9231,0.8333,0.9231,0.8521,0.8862,0.0,0.0
8,0.9231,0.0,0.9231,0.8521,0.8862,0.0,0.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mean,0.9341,0.6705,0.9341,0.894,0.9119,0.3526,0.3566
Std,0.0596,0.3217,0.0596,0.0843,0.0713,0.4655,0.4693
