Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9286,0.0,0.9286,0.8622,0.8942,0.0,0.0
1,0.8571,0.8462,0.8571,0.9524,0.8869,0.44,0.5311
2,0.9286,0.4615,0.9286,0.8622,0.8942,0.0,0.0
3,0.8571,0.875,0.8571,0.7347,0.7912,0.0,0.0
4,0.9286,0.5,0.9286,0.9341,0.9181,0.6316,0.6794
5,0.9231,0.7917,0.9231,0.8521,0.8862,0.0,0.0
6,0.9231,0.6667,0.9231,0.8521,0.8862,0.0,0.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.9231,0.4167,0.9231,0.8521,0.8862,0.0,0.0
9,0.9231,0.4167,0.9231,0.8521,0.8862,0.0,0.0
Mean,0.9192,0.5974,0.9192,0.8754,0.8929,0.2072,0.221
Std,0.0382,0.2817,0.0382,0.0687,0.0476,0.3411,0.3543
