Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.8571,0.0769,0.8571,0.8571,0.8571,-0.0769,-0.0769
1,0.8571,0.9231,0.8571,0.9524,0.8869,0.44,0.5311
2,0.9286,0.6923,0.9286,0.8622,0.8942,0.0,0.0
3,0.9286,1.0,0.9286,0.9341,0.9181,0.6316,0.6794
4,0.9286,0.5417,0.9286,0.9341,0.9181,0.6316,0.6794
5,0.9231,0.875,0.9231,0.8521,0.8862,0.0,0.0
6,0.9231,0.6667,0.9231,0.8521,0.8862,0.0,0.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.9231,0.3333,0.9231,0.8521,0.8862,0.0,0.0
9,0.9231,0.4167,0.9231,0.8521,0.8862,0.0,0.0
Mean,0.9192,0.6526,0.9192,0.8948,0.9019,0.2626,0.2813
Std,0.0382,0.2945,0.0382,0.0522,0.0366,0.3616,0.3768
